antecedents,consequents,support,confidence,lift
"dp=mild, thal=normal",hr=high,0.1163,0.7868,1.6302
exang=True,slope=flat,0.2239,0.6113,1.6301
"chol=borderline, exang=False",no_disease,0.1076,0.7279,1.6295
"exang=False, no_disease","fbs=False, hr=high",0.2293,0.628,1.6274
"age=40-50, dp=mild, no_disease",exang=False,0.1076,0.934,1.6274
"cp=atypical angina, dp=mild, exang=False",hr=high,0.1109,0.7846,1.6258
ca=0.0,hr=high,0.1543,0.7845,1.6256
"cp=asymptomatic, exang=True, sex=Male",slope=flat,0.1609,0.6091,1.6241
"cp=atypical angina, dp=mild, fbs=False",hr=high,0.1022,0.7833,1.6231
"exang=False, hr=high","fbs=False, no_disease",0.2293,0.6224,1.6222
"dp=mild, exang=False",no_disease,0.2946,0.7246,1.622
no_disease,"dp=mild, exang=False",0.2946,0.6594,1.622
"ca=0.0, fbs=False",hr=high,0.137,0.7826,1.6216
"exang=False, no_disease, sex=Male",dp=mild,0.187,0.819,1.6205
"chol=high, hr=high, no_disease",dp=mild,0.1033,0.819,1.6203
"dp=mild, hr=high, no_disease",exang=False,0.2163,0.9299,1.6203
"exang=False, hr=high, no_disease",dp=mild,0.2163,0.8189,1.6202
"chol=high, dp=mild, fbs=False",no_disease,0.1196,0.7237,1.6199
